Filename,Line number,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
AirflowNetworkBalanceManager.cc,4005,"""AFN Zone Outdoor Air Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4006,"""AFN Zone Mixing Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4007,"""AFN Zone Outdoor Air CO2 Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHrCO,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4008,"""AFN Zone Mixing CO2 Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHrCO,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4009,"""AFN Zone Total CO2 Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).TotalCO2,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4015,"""AFN Zone Outdoor Air Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4016,"""AFN Zone Mixing Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHr,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4018,"""AFN Zone Outdoor Air Generic Air Contaminant Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMHrGC,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4019,"""AFN Zone Mixing Generic Air Contaminant Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).SumMMHrGC,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4020,"""AFN Zone Total Generic Air Contaminant Mass Flow Rate""",kg/s,AirflowNetworkExchangeData( i ).TotalGC,"""System""","""Average""",Zone( i ).Name
AirflowNetworkBalanceManager.cc,4226,"""AFN Node Temperature""",C,AirflowNetworkNodeSimu( i ).TZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,4227,"""AFN Node Humidity Ratio""",kgWater/kgDryAir,AirflowNetworkNodeSimu( i ).WZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,4228,"""AFN Node CO2 Concentration""",ppm,AirflowNetworkNodeSimu( i ).CO2Z,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,4229,"""AFN Node Generic Air Contaminant Concentration""",ppm,AirflowNetworkNodeSimu( i ).GCZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,4230,"""AFN Node Total Pressure""",Pa,AirflowNetworkNodeSimu( i ).PZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,4232,"""AFN Node Wind Pressure""",Pa,AirflowNetworkNodeSimu( i ).PZ,"""System""","""Average""",AirflowNetworkNodeData( i ).Name
AirflowNetworkBalanceManager.cc,4238,"""AFN Linkage Node 1 to Node 2 Mass Flow Rate""",kg/s,AirflowNetworkLinkReport( i ).FLOW,"""System""","""Average""",AirflowNetworkLinkageData( i ).Name
AirflowNetworkBalanceManager.cc,4239,"""AFN Linkage Node 2 to Node 1 Mass Flow Rate""",kg/s,AirflowNetworkLinkReport( i ).FLOW2,"""System""","""Average""",AirflowNetworkLinkageData( i ).Name
AirflowNetworkBalanceManager.cc,4240,"""AFN Linkage Node 1 to Node 2 Volume Flow Rate""",m3/s,AirflowNetworkLinkReport( i ).VolFLOW,"""System""","""Average""",AirflowNetworkLinkageData( i ).Name
AirflowNetworkBalanceManager.cc,4241,"""AFN Linkage Node 2 to Node 1 Volume Flow Rate""",m3/s,AirflowNetworkLinkReport( i ).VolFLOW2,"""System""","""Average""",AirflowNetworkLinkageData( i ).Name
AirflowNetworkBalanceManager.cc,4242,"""AFN Linkage Node 1 to Node 2 Pressure Difference""",Pa,AirflowNetworkLinkSimu( i ).DP,"""System""","""Average""",AirflowNetworkLinkageData( i ).Name
AirflowNetworkBalanceManager.cc,4250,"""AFN Surface Venting Window or Door Opening Factor""",,MultizoneSurfaceData( i ).OpenFactor,"""System""","""Average""",MultizoneSurfaceData( i ).SurfName
AirflowNetworkBalanceManager.cc,4254,"""AFN Surface Venting Window or Door Opening Modulation Multiplier""",,SurfaceWindow( SurfNum ).VentingOpenFactorMultRep,"""System""","""Average""",Surface( SurfNum ).Name
AirflowNetworkBalanceManager.cc,4255,"""AFN Surface Venting Inside Setpoint Temperature""",C,SurfaceWindow( SurfNum ).InsideTempForVentingRep,"""System""","""Average""",Surface( SurfNum ).Name
