*BIDIRECTIONAL
*types,1
*item,Venetian 0 deg
#(3 datatypes: Te_g_rho, Te_abs_n_diffuse, Te_g_only)
*datatype,Te_g_rho
*layers,3
*sets,3
# Next four lines are not used (only for documentation)
# Properties of DGU: 
# 2 x 3mm low-E with venetian blinds in three states: 0, 45 and 90 deg.
# g0 = 0.606;
# tauvis0 = 0.792;
# udgu := 1.955;
*start_set 
*set_type 1, #2x3mm low-E-V0 
*Uvalue 1.955
*Rexternal 0.04
*Rinternal 0.13
#Next 2 lines: only used for datatype 1 (Te_abs_n_diffuse)
*diffuse_abs,0.26,0.521,0.002,0,0.007
*diffuse_trn,0.345
*direct_angs,37,37
*data
#Azimuth,Height,Te,g,rho
-90,-90,0.036,0.036,0.554
-90,-85,0.042,0.042,0.552
-90,-80,0.048,0.048,0.551
-90,-75,0.054,0.054,0.550
-90,-70,0.061,0.061,0.548
-90,-65,0.068,0.068,0.547
-90,-60,0.075,0.075,0.545
-90,-55,0.083,0.083,0.543
-90,-50,0.091,0.091,0.541
-90,-45,0.100,0.100,0.539
-90,-40,0.109,0.109,0.538
-90,-35,0.119,0.119,0.535
-90,-30,0.128,0.128,0.533
-90,-25,0.139,0.139,0.531
-90,-20,0.149,0.149,0.529
-90,-15,0.160,0.160,0.526
-90,-10,0.171,0.171,0.524
-90,-5,0.182,0.182,0.522
-90,0,0.193,0.193,0.519
-90,5,0.182,0.182,0.522
-90,10,0.171,0.171,0.524
-90,15,0.160,0.160,0.526
-90,20,0.149,0.149,0.529
-90,25,0.139,0.139,0.531
-90,30,0.128,0.128,0.533
-90,35,0.119,0.119,0.535
-90,40,0.109,0.109,0.538
-90,45,0.100,0.100,0.539
-90,50,0.091,0.091,0.541
-90,55,0.083,0.083,0.543
-90,60,0.075,0.075,0.545
-90,65,0.068,0.068,0.547
-90,70,0.061,0.061,0.548
-90,75,0.054,0.054,0.550
-90,80,0.048,0.048,0.551
-90,85,0.042,0.042,0.552
-90,90,0.036,0.036,0.554
-85,-90,0.036,0.036,0.554
-85,-85,0.039,0.039,0.553
-85,-80,0.042,0.042,0.552
-85,-75,0.048,0.048,0.551
-85,-70,0.055,0.055,0.549
-85,-65,0.062,0.062,0.548
-85,-60,0.070,0.070,0.546
-85,-55,0.078,0.078,0.544
-85,-50,0.086,0.086,0.543
-85,-45,0.095,0.095,0.541
-85,-40,0.105,0.105,0.538
-85,-35,0.115,0.115,0.536
-85,-30,0.125,0.125,0.534
-85,-25,0.136,0.136,0.532
-85,-20,0.146,0.146,0.529
-85,-15,0.158,0.158,0.527
-85,-10,0.169,0.169,0.524
-85,-5,0.181,0.181,0.522
-85,0,0.193,0.193,0.519
-85,5,0.181,0.181,0.522
-85,10,0.169,0.169,0.524
-85,15,0.158,0.158,0.527
-85,20,0.146,0.146,0.529
-85,25,0.136,0.136,0.532
-85,30,0.125,0.125,0.534
-85,35,0.115,0.115,0.536
-85,40,0.105,0.105,0.538
-85,45,0.095,0.095,0.541
-85,50,0.086,0.086,0.543
-85,55,0.078,0.078,0.544
-85,60,0.070,0.070,0.546
-85,65,0.062,0.062,0.548
-85,70,0.055,0.055,0.549
-85,75,0.048,0.048,0.551
-85,80,0.042,0.042,0.552
-85,85,0.039,0.039,0.553
-85,90,0.036,0.036,0.554
-80,-90,0.036,0.036,0.554
-80,-85,0.036,0.036,0.554
-80,-80,0.036,0.036,0.554
-80,-75,0.042,0.042,0.552
-80,-70,0.049,0.049,0.551
-80,-65,0.057,0.057,0.549
-80,-60,0.064,0.064,0.547
-80,-55,0.073,0.073,0.546
-80,-50,0.081,0.081,0.544
-80,-45,0.091,0.091,0.542
-80,-40,0.100,0.100,0.539
-80,-35,0.111,0.111,0.537
-80,-30,0.121,0.121,0.535
-80,-25,0.132,0.132,0.532
-80,-20,0.144,0.144,0.530
-80,-15,0.156,0.156,0.527
-80,-10,0.168,0.168,0.525
-80,-5,0.180,0.180,0.522
-80,0,0.193,0.193,0.519
-80,5,0.180,0.180,0.522
-80,10,0.168,0.168,0.525
-80,15,0.156,0.156,0.527
-80,20,0.144,0.144,0.530
-80,25,0.132,0.132,0.532
-80,30,0.121,0.121,0.535
-80,35,0.111,0.111,0.537
-80,40,0.100,0.100,0.539
-80,45,0.091,0.091,0.542
-80,50,0.081,0.081,0.544
-80,55,0.073,0.073,0.546
-80,60,0.064,0.064,0.547
-80,65,0.057,0.057,0.549
-80,70,0.049,0.049,0.551
-80,75,0.042,0.042,0.552
-80,80,0.036,0.036,0.554
-80,85,0.036,0.036,0.554
-80,90,0.036,0.036,0.554
-75,-90,0.036,0.036,0.554
-75,-85,0.036,0.036,0.554
-75,-80,0.036,0.036,0.554
-75,-75,0.039,0.039,0.553
-75,-70,0.042,0.042,0.552
-75,-65,0.050,0.050,0.550
-75,-60,0.058,0.058,0.549
-75,-55,0.066,0.066,0.547
-75,-50,0.075,0.075,0.545
-75,-45,0.086,0.086,0.538
-75,-40,0.097,0.097,0.531
-75,-35,0.111,0.111,0.523
-75,-30,0.125,0.125,0.515
-75,-25,0.141,0.141,0.508
-75,-20,0.158,0.158,0.500
-75,-15,0.176,0.176,0.494
-75,-10,0.193,0.193,0.488
-75,-5,0.211,0.211,0.484
-75,0,0.229,0.229,0.479
-75,5,0.211,0.211,0.484
-75,10,0.193,0.193,0.488
-75,15,0.176,0.176,0.494
-75,20,0.158,0.158,0.500
-75,25,0.141,0.141,0.508
-75,30,0.125,0.125,0.515
-75,35,0.111,0.111,0.523
-75,40,0.097,0.097,0.531
-75,45,0.086,0.086,0.538
-75,50,0.075,0.075,0.545
-75,55,0.066,0.066,0.547
-75,60,0.058,0.058,0.549
-75,65,0.050,0.050,0.550
-75,70,0.042,0.042,0.552
-75,75,0.039,0.039,0.553
-75,80,0.036,0.036,0.554
-75,85,0.036,0.036,0.554
-75,90,0.036,0.036,0.554
-70,-90,0.036,0.036,0.554
-70,-85,0.036,0.036,0.554
-70,-80,0.036,0.036,0.554
-70,-75,0.036,0.036,0.554
-70,-70,0.036,0.036,0.554
-70,-65,0.044,0.044,0.552
-70,-60,0.051,0.051,0.550
-70,-55,0.060,0.060,0.548
-70,-50,0.069,0.069,0.546
-70,-45,0.081,0.081,0.535
-70,-40,0.093,0.093,0.523
-70,-35,0.111,0.111,0.509
-70,-30,0.129,0.129,0.495
-70,-25,0.150,0.150,0.483
-70,-20,0.172,0.172,0.471
-70,-15,0.195,0.195,0.461
-70,-10,0.219,0.219,0.452
-70,-5,0.242,0.242,0.446
-70,0,0.265,0.265,0.439
-70,5,0.242,0.242,0.446
-70,10,0.219,0.219,0.452
-70,15,0.195,0.195,0.461
-70,20,0.172,0.172,0.471
-70,25,0.150,0.150,0.483
-70,30,0.129,0.129,0.495
-70,35,0.111,0.111,0.509
-70,40,0.093,0.093,0.523
-70,45,0.081,0.081,0.535
-70,50,0.069,0.069,0.546
-70,55,0.060,0.060,0.548
-70,60,0.051,0.051,0.550
-70,65,0.044,0.044,0.552
-70,70,0.036,0.036,0.554
-70,75,0.036,0.036,0.554
-70,80,0.036,0.036,0.554
-70,85,0.036,0.036,0.554
-70,90,0.036,0.036,0.554
-65,-90,0.036,0.036,0.554
-65,-85,0.036,0.036,0.554
-65,-80,0.036,0.036,0.554
-65,-75,0.036,0.036,0.554
-65,-70,0.036,0.036,0.554
-65,-65,0.041,0.041,0.550
-65,-60,0.045,0.045,0.546
-65,-55,0.058,0.058,0.533
-65,-50,0.070,0.070,0.519
-65,-45,0.084,0.084,0.502
-65,-40,0.097,0.097,0.485
-65,-35,0.117,0.117,0.467
-65,-30,0.136,0.136,0.450
-65,-25,0.164,0.164,0.434
-65,-20,0.193,0.193,0.419
-65,-15,0.225,0.225,0.406
-65,-10,0.257,0.257,0.394
-65,-5,0.289,0.289,0.386
-65,0,0.321,0.321,0.378
-65,5,0.289,0.289,0.386
-65,10,0.257,0.257,0.394
-65,15,0.225,0.225,0.406
-65,20,0.193,0.193,0.419
-65,25,0.164,0.164,0.434
-65,30,0.136,0.136,0.450
-65,35,0.117,0.117,0.467
-65,40,0.097,0.097,0.485
-65,45,0.084,0.084,0.502
-65,50,0.070,0.070,0.519
-65,55,0.058,0.058,0.533
-65,60,0.045,0.045,0.546
-65,65,0.041,0.041,0.550
-65,70,0.036,0.036,0.554
-65,75,0.036,0.036,0.554
-65,80,0.036,0.036,0.554
-65,85,0.036,0.036,0.554
-65,90,0.036,0.036,0.554
-60,-90,0.036,0.036,0.554
-60,-85,0.036,0.036,0.554
-60,-80,0.036,0.036,0.554
-60,-75,0.036,0.036,0.554
-60,-70,0.036,0.036,0.554
-60,-65,0.038,0.038,0.548
-60,-60,0.040,0.040,0.543
-60,-55,0.055,0.055,0.517
-60,-50,0.071,0.071,0.492
-60,-45,0.086,0.086,0.469
-60,-40,0.101,0.101,0.446
-60,-35,0.122,0.122,0.425
-60,-30,0.143,0.143,0.405
-60,-25,0.179,0.179,0.386
-60,-20,0.214,0.214,0.367
-60,-15,0.254,0.254,0.352
-60,-10,0.295,0.295,0.337
-60,-5,0.336,0.336,0.327
-60,0,0.377,0.377,0.317
-60,5,0.336,0.336,0.327
-60,10,0.295,0.295,0.337
-60,15,0.254,0.254,0.352
-60,20,0.214,0.214,0.367
-60,25,0.179,0.179,0.386
-60,30,0.143,0.143,0.405
-60,35,0.122,0.122,0.425
-60,40,0.101,0.101,0.446
-60,45,0.086,0.086,0.469
-60,50,0.071,0.071,0.492
-60,55,0.055,0.055,0.517
-60,60,0.040,0.040,0.543
-60,65,0.038,0.038,0.548
-60,70,0.036,0.036,0.554
-60,75,0.036,0.036,0.554
-60,80,0.036,0.036,0.554
-60,85,0.036,0.036,0.554
-60,90,0.036,0.036,0.554
-55,-90,0.036,0.036,0.554
-55,-85,0.036,0.036,0.554
-55,-80,0.036,0.036,0.554
-55,-75,0.036,0.036,0.554
-55,-70,0.036,0.036,0.554
-55,-65,0.041,0.041,0.537
-55,-60,0.046,0.046,0.519
-55,-55,0.060,0.060,0.491
-55,-50,0.074,0.074,0.462
-55,-45,0.090,0.090,0.435
-55,-40,0.105,0.105,0.409
-55,-35,0.123,0.123,0.386
-55,-30,0.141,0.141,0.362
-55,-25,0.183,0.183,0.342
-55,-20,0.225,0.225,0.322
-55,-15,0.274,0.274,0.309
-55,-10,0.322,0.322,0.295
-55,-5,0.369,0.369,0.285
-55,0,0.416,0.416,0.275
-55,5,0.369,0.369,0.285
-55,10,0.322,0.322,0.295
-55,15,0.274,0.274,0.309
-55,20,0.225,0.225,0.322
-55,25,0.183,0.183,0.342
-55,30,0.141,0.141,0.362
-55,35,0.123,0.123,0.386
-55,40,0.105,0.105,0.409
-55,45,0.090,0.090,0.435
-55,50,0.074,0.074,0.462
-55,55,0.060,0.060,0.491
